Course,Name,Total,1st,2nd,3rd,4th,5th,6th,7th,8th,Points
Baby Park,Tom,33,24,4,4,1,0,0,0,0,300
Baby Park,Nick,33,7,20,2,2,2,0,0,0,256
Bowser Castle,Tom,33,18,13,2,0,0,0,0,0,296
Bowser Castle,Nick,33,14,17,2,0,0,0,0,0,288
DK Mountain,Nick,33,18,12,3,0,0,0,0,0,294
DK Mountain,Tom,33,15,13,3,1,0,1,0,0,278
Daisy Cruiser,Tom,33,22,11,0,0,0,0,0,0,308
Daisy Cruiser,Nick,33,11,21,0,1,0,0,0,0,282
Dino Dino Jungle,Nick,33,20,11,1,0,1,0,0,0,297
Dino Dino Jungle,Tom,33,13,19,0,0,1,0,0,0,285
Dry Dry Desert,Nick,33,21,10,0,1,0,1,0,0,296
Dry Dry Desert,Tom,33,12,18,0,1,1,0,1,0,272
Luigi Circuit,Nick,33,16,17,0,0,0,0,0,0,296
Luigi Circuit,Tom,33,17,10,2,4,0,0,0,0,278
Mario Circuit,Tom,33,19,10,4,0,0,0,0,0,294
Mario Circuit,Nick,33,12,14,5,1,1,0,0,0,269
Mushroom Bridge,Tom,33,20,12,1,0,0,0,0,0,302
Mushroom Bridge,Nick,33,12,19,2,0,0,0,0,0,284
Mushroom City,Tom,33,23,9,1,0,0,0,0,0,308
Mushroom City,Nick,33,10,21,2,0,0,0,0,0,280
Peach Beach,Tom,33,17,13,3,0,0,0,0,0,292
Peach Beach,Nick,33,16,14,2,1,0,0,0,0,288
Rainbow Road,Nick,33,23,5,2,2,1,0,0,0,293
Rainbow Road,Tom,33,7,9,6,3,5,1,1,1,208
Sherbet Land,Tom,33,23,9,0,0,1,0,0,0,305
Sherbet Land,Nick,33,7,19,6,1,0,0,0,0,262
Waluigi Stadium,Nick,33,19,8,5,0,1,0,0,0,287
Waluigi Stadium,Tom,33,13,13,4,2,0,0,0,1,266
Wario Colosseum,Tom,33,19,10,2,2,0,0,0,0,290
Wario Colosseum,Nick,33,13,19,1,0,0,0,0,0,288
Yoshi Circuit,Tom,33,20,11,1,0,1,0,0,0,297
Yoshi Circuit,Nick,33,13,20,0,0,0,0,0,0,290
