Driver 1,Driver 2,Total,Jeran,JD,Nick,Dan,Tom,Guest
Bowser Jr.,Koopa,166,0,75,25,15,51,0
Diddy Kong,Toadette,145,81,0,0,44,20,0
Diddy Kong,Paratroopa,130,5,0,30,65,30,0
Diddy Kong,Koopa,124,50,20,15,19,20,0
Bowser Jr.,Paratroopa,95,0,15,55,10,15,0
Baby Mario,Toadette,90,60,0,0,10,15,5
Baby Luigi,Toad,85,10,30,10,15,20,0
Toad,Waluigi,80,0,5,0,51,24,0
Bowser Jr.,Toadette,76,10,18,0,13,35,0
Koopa,Toad,75,10,0,20,5,40,0
Bowser Jr.,Toad,65,0,40,0,5,20,0
Baby Mario,Paratroopa,58,0,0,58,0,0,0
Paratroopa,Toadette,56,15,0,5,0,36,0
Baby Mario,Toad,55,30,10,0,0,15,0
Baby Luigi,Toadette,50,20,0,0,20,5,5
